,B_2,B_3,B_10,B_15,B_16,B_17,B_18,B_19,B_21,B_24,B_25,Good/Bad
4797,0.0,0.0004,21.61,47.28,521.69,2388.11,8137.22,8.4181,393.0,38.81,23.2913,0
4798,0.0008,-0.0003,21.61,47.27,521.29,2388.05,8144.87,8.438965413533834,391.0,38.94,23.2961,0
4799,-0.0011,0.0001,21.61,47.24,521.68,2388.05,8141.02,8.4111,395.0,38.86,23.3732,0
4800,0.0003,-0.0001,21.609848484848484,47.35,522.0,2388.04,8141.58,8.4018,393.0,38.82,23.4338,0
4802,-0.006,-0.0002,21.61,47.5,521.94,2388.03,8143.88,8.4536,394.0,39.0,23.2243,0
4803,-0.0024,-0.0001,21.61,47.53,521.72,2388.05,8147.25,8.4344,393.0,38.89,23.264,0
4804,-0.0008,0.0,21.61,47.5,522.06,2388.09,8141.67,8.3822,392.0,38.88,23.3048,0
4805,-0.0013,-0.0005,21.61,47.46,521.9,2388.06,8141.55,8.4179,394.0,38.89,23.4315,0
4806,0.0016,0.0002,21.61,47.44,521.22,2388.07,8140.01,8.4445,392.0,38.76,23.298,0
4807,0.0051,0.0003,21.61,47.34,522.0,2388.07,8141.92,8.4288,393.0,38.87,23.3155,0
4808,-0.0011,0.0,21.61,47.37,521.38,2388.08,8144.63,8.4114,392.0,38.96,23.3752,0
4809,0.0016,0.0003,21.61,47.43,521.44,2388.08,8143.56,8.4604,391.0,38.74,23.3101,0
4810,0.0015,-0.0002,21.61,47.45,521.89,2388.0,8144.74,8.47,392.0,38.96,23.3571,0
4811,-0.0027,0.0002,21.61,47.31,522.04,2388.07,8143.56,8.3857,392.0,39.11,23.4013,0
4812,-0.0002,0.0004,21.61,47.4,521.37,2388.05,8142.24,8.4437,392.0,38.84,23.2933,0
4814,0.0012,-0.0001,21.609848484848484,47.3,522.04,2388.01,8146.68,8.4696,394.0,38.84,23.3519,0
4815,-0.0012,0.0,21.609848484848484,47.49,521.78,2388.1,8138.78,8.4678,394.0,38.97,23.2967,0
4816,-0.0004,0.0003,21.61,47.48,522.0,2388.03,8138.51,8.4399,393.0,38.89,23.3512,0
4817,-0.0015,0.0003,21.61,47.47,521.83,2388.11,8144.72,8.4139,393.0,38.97,23.3813,0
4818,0.0006,0.0003,21.61,47.47,521.38,2388.07,8138.01,8.447,394.0,38.9,23.301,0
4819,-0.0016,0.0003,21.61,47.49,521.34,2388.11,8137.7,8.4497,393.0,38.82,23.3841,0
4820,-0.0004,0.0001,21.61,47.45,521.51,2388.04,8138.1,8.4622,392.0,38.8,23.2387,0
4821,-0.00011007751937984498,0.0002,21.61,47.41,521.94,2388.06,8139.57,8.4235,392.0,38.94,23.4134,0
4822,0.0021,0.0003,21.61,47.55,521.51,2388.12,8138.95,8.4494,392.0,38.92,23.385,0
4823,0.0034,-0.0004,21.61,47.47,521.6,2388.14,8135.01,8.4436,392.0,38.79,23.2728,0
4824,0.0004,0.0003,21.61,47.63,522.23,2388.08,8136.91,8.4103,394.0,38.92,23.3384,0
4825,-0.0004,0.0003,21.61,47.61,521.66,2388.03,8144.87,8.4642,393.0,38.72,23.3162,0
4826,0.0006,-0.0002,21.61,47.48,521.99,2388.08,8137.7,8.4246,392.0,38.86,23.4483,0
4827,0.0,0.0,21.61,47.45,521.0,2388.0893333333333,8140.14,8.3932,392.0,38.85,23.2966,0
4828,-0.0002,0.0004,21.61,47.55,521.33,2388.05,8145.16,8.4211,393.0,38.77,23.3446,0
4829,-0.00011007751937984498,0.0,21.61,47.54,521.37,2388.11,8140.95,8.4557,392.0,38.91,23.2572,0
4830,-0.00011007751937984498,-0.0002,21.61,47.52,521.21,2388.12,8143.74,8.4629,394.0,38.82,23.2879,0
4831,-0.0028,-0.0001,21.61,47.46,521.1,2388.16,8140.75,8.4142,394.0,38.89,23.1994,0
4832,-0.0008,0.0,21.61,47.72,521.28,2388.07,8137.55,8.454,394.0,38.72,23.2554,0
4833,-0.0012,-0.0002,21.61,47.66,521.31,2388.05,8137.13,8.4723,394.0,38.75,23.2844,0
4834,0.0006,0.0004,21.61,47.22,521.68,2388.1,8132.97,8.438965413533834,393.0,38.8,23.2367,0
4835,-0.0005,0.0,21.61,47.66,521.14,2388.11,8142.47,8.4627,394.0,38.86,23.3045,0
4837,0.0009,0.0,21.61,47.54,521.15,2388.1,8140.4,8.4555,393.0,38.85,23.2629,0
4838,0.0001,0.0,21.61,47.7,521.0,2388.14,8140.38,8.4453,393.05925925925925,38.73,23.2973,0
4839,0.0017,0.0,21.609848484848484,47.46,520.96,2388.08,8142.23,8.4454,394.0,38.8,23.3048,0
4840,0.0011,0.0001,21.61,47.51,521.39,2388.14,8142.4,8.4457,393.0,38.83,23.3048,0
4841,0.0035,0.0002,21.61,47.67,521.42,2388.13,8139.9,8.4483,393.0,38.77,23.2308,0
4842,0.0067,0.0,21.61,47.75,521.02,2388.08,8138.12,8.471,393.0,38.87,23.2551,0
4843,-0.0008,-0.0002,21.61,47.57,521.1,2388.19,8136.64,8.4471,392.0,38.82,23.2024,0
4844,-0.006,0.0001,21.61,47.59,520.98,2388.15,8137.89,8.4469,394.0,38.9,23.2226,0
4845,-0.0052,-0.0003,21.61,47.71,521.22,2388.13,8139.9,8.4638,394.0,38.58,23.1055,0
4847,-0.00011007751937984498,0.0003,21.61,47.66,521.29,2388.17,8133.15,8.4474,393.0,38.89,23.2865,0
4848,-0.0019,-0.0003,21.61,47.5,520.94,2388.19,8138.89,8.4689,391.0,38.84,23.2628,0
4849,0.0037,0.0004,21.61,47.67,521.45,2388.16,8135.54,8.4329,396.0,38.84,23.2382,1
4850,0.0026,-0.0004,21.61,47.72,520.72,2388.13,8138.23,8.4527,394.0,38.66,23.2601,1
4851,-0.0003,0.0003,21.61,47.7,521.01,2388.14,8136.4,8.4628,393.0,38.78,23.2446,1
4852,0.0013,0.0003,21.61,47.81,520.74,2388.19,8133.24,8.4582,394.0,38.68,23.2462,1
4853,-0.0046,-0.0002,21.61,47.6,521.18,2388.15,8131.42,8.4492,393.0,38.83,23.3677,1
4854,-0.0025,-0.0002,21.61,47.82,520.57,2388.14,8138.1,8.4749,396.0,38.62,23.2796,1
4855,-0.0037,-0.0004,21.61,47.61,520.87,2388.19,8131.52,8.4806,394.0,38.67,23.1709,1
4856,0.0018,0.0004,21.61,47.62,520.49,2388.19,8129.7,8.4462,394.0,38.56,23.303,1
4857,0.0006,0.0004,21.61,47.82,520.94,2388.16,8129.47,8.512,394.0,38.67,23.1734,1
4858,0.0007,0.0004,21.61,47.92,520.47,2388.2,8135.28,8.4526,394.0,38.74,23.1972,1
4859,-0.0011,-1.5037593984962406e-05,21.61,47.85,520.38,2388.19,8135.48,8.4587,394.0,38.58,23.1422,1
4860,0.0009,-0.0004,21.61,47.74,520.41,2388.15,8136.59,8.4518,394.0,38.52,23.1884,1
4861,0.0025,0.0004,21.61,47.85,520.4,2388.15,8128.44,8.4572,395.0,38.6,23.1416,1
4862,0.0005,0.0002,21.61,47.83,520.48,2388.18,8128.11,8.4835,395.0,38.75,23.122,1
4863,-0.00011007751937984498,0.0002,21.61,47.92,520.45,2388.14,8135.34,8.4941,394.0,38.59,23.1388,1
4864,-0.0017,-0.0005,21.61,47.76,520.19,2388.14,8129.19,8.4651,394.0,38.61,23.1579,1
4865,-0.0021,0.0,21.61,47.8,520.65,2388.21,8123.5,8.5049,396.0,38.56,23.1208,1
4866,-0.0031,-0.0001,21.61,47.95,520.6,2388.23,8123.74,8.438965413533834,394.0,38.46,23.0912,1
4867,0.0037,0.0003,21.61,47.89,520.6,2388.23,8130.42,8.463,395.0,38.66,23.0909,1
4868,0.0005,-0.0003,21.61,48.03,520.04,2388.24,8126.42,8.5145,394.0,38.52,23.0979,1
4869,-0.0008,-0.0004,21.61,48.04,520.05,2388.22,8125.26,8.4738,395.0,38.58,23.0075,1
4870,0.0043,-1.5037593984962406e-05,21.61,47.96,520.44,2388.23,8124.3,8.4715,395.0,38.59,23.2295,1
4871,0.0007,0.0,21.61,47.84,520.25,2388.26,8119.55,8.5013,395.0,38.39,23.078,1
4872,0.0005,0.0002,21.61,48.06,520.41,2388.28,8122.45,8.5487,395.0,38.6,23.1751,1
4873,0.0043,0.0002,21.61,48.08,520.06,2388.25,8123.21,8.5211,395.0,38.43,23.1141,1
4874,-0.0001,0.0003,21.61,47.9,520.09,2388.24,8124.07,8.5366,395.0,38.41,23.2016,1
4875,0.0031,-0.0005,21.61,48.12,519.63,2388.22,8124.72,8.5327,395.0,38.42,23.0698,1
4877,-0.0018,-0.0003,21.61,48.21,520.0,2388.3,8119.31,8.4883,397.0,38.53,23.0049,1
4878,-0.002,0.0002,21.61,48.17,519.54,2388.29,8123.96,8.5617,397.0,38.42,23.3048,1
4879,-0.0006,0.0004,21.61,48.19,519.3,2388.28,8119.58,8.5374,398.0,38.58,23.0309,1
4880,-0.0021,-0.0004,21.61,47.51,521.04,2388.15,8126.14,8.432,392.0,38.98,23.4472,0
4882,-0.0016,0.0,21.61,47.43,521.45,2388.06,8130.37,8.4354,394.0,38.74,23.251,0
4884,0.0021,-0.0001,21.61,47.29,520.93,2388.05,8129.83,8.4501,391.0,38.8,23.297,0
4885,0.0007,0.0004,21.61,47.45,521.91,2388.12,8127.98,8.4588,394.0,38.96,23.3451,0
4886,0.004,0.0005,21.61,47.42,521.36,2388.17,8126.82,8.4436,392.0,38.66,23.372,0
4887,-0.0023,0.0006,21.61,47.63,521.2113942307692,2388.13,8129.85,8.4387,393.0,38.62,23.3443,0
4888,0.0032,0.0005,21.61,47.46,521.67,2388.13,8129.6,8.4279,393.5571428571429,38.78,23.3189,0
4889,-0.0009,0.0,21.61,47.53,521.59,2388.13,8130.18,8.4246,392.0,38.94,23.3077,0
4890,-0.0016,-0.0004,21.61,47.36,521.51,2388.08,8124.2,8.450936842105262,391.0,38.74,23.2851,0
4891,-0.0018,0.0003,21.61,47.57,521.26,2388.15,8128.7,8.3837,392.0,38.62,23.2574,0
4892,-0.0007,0.0003,21.61,47.51,521.53,2388.1,8129.54,8.4074,393.0,38.91,23.3313,0
4893,0.0003,0.0005,21.61,47.618689320388356,521.06,2388.08,8130.37,8.4071,393.0,38.79,23.4092,0
4895,0.002,0.0004,21.61,47.44,521.43,2388.08,8132.94,8.4017,392.0,39.07,23.3018,0
4897,-0.0023,0.0003,21.61,47.34,521.29,2388.12,8124.93,8.4192,392.0,38.85,23.3673,0
4898,0.0029,-0.0003,21.61,47.47,521.17,2388.07,8127.22,8.432,393.0,38.9,23.3796,0
4899,-0.002,0.0004,21.61,47.49,522.03,2388.12,8126.13,8.4284,393.0,38.73,23.3354,0
4900,0.0027,-0.0002,21.61,47.43,521.55,2388.09,8127.03,8.4326,394.0,38.86,23.4104,0
4901,0.0012,0.0004,21.61,47.32,521.24,2388.13,8131.19,8.4124,393.0,39.0,23.3353,0
4902,0.0027,-0.0003,21.61,47.49,521.38,2388.122403846154,8143.292028985507,8.4539,392.0,38.99,23.3806,0
4903,-0.0012,0.0,21.61,47.28,521.38,2388.06,8123.64,8.4316,393.0,38.84,23.3507,0
4904,-0.0006,0.0003,21.61,47.36,522.05,2388.122403846154,8125.22,8.4248,395.0,38.77504854368932,23.2456,0
4905,0.0046,0.0005,21.61,47.618689320388356,521.23,2388.13,8126.99,8.4308,393.0,39.11,23.3263,0
4906,-0.0035,-0.0004,21.61,47.47,521.55,2388.11,8125.51,8.4521,392.0,39.05,23.3549,0
4907,0.0015,0.0003,21.61,47.49,521.3,2388.13,8129.09,8.4279,392.0,38.97,23.3029,0
4908,0.001,-0.0002,21.61,47.57,521.98,2388.1,8127.85,8.4331,393.0,38.67,23.2909,0
4909,-0.0031,0.0,21.61,47.33,522.3,2388.14,8128.57,8.4311,394.0,38.97,23.2102,0
4910,-0.0005,0.0003,21.61,47.32,521.87,2388.12,8129.12,8.4429,393.0,39.0,23.2772,0
4911,-0.0006,0.0001,21.61,47.67,521.86,2388.15,8125.7,8.4461,395.0,38.86,23.3358,0
4912,-0.0044,-0.0002,21.61,47.5,521.37,2388.14,8128.83,8.4223,393.0,38.77504854368932,23.2652,0
4913,0.0013,0.0005,21.61,47.54,521.5,2388.16,8120.11,8.4272,394.0,38.81,23.342,0
4914,-0.0033,0.0,21.61,47.34,521.83,2388.11,8129.3,8.4568,391.0,39.07,23.3539,0
4916,-0.0006,-0.0004,21.61,47.62,521.65,2388.1,8130.36,8.4354,391.0,38.73,23.3496,0
4917,0.004,-0.0001,21.61,47.31,521.21,2388.13,8129.22,8.4214,393.0,38.88,23.2142,0
4918,-0.0008,0.0004,21.61,47.6,521.21,2388.09,8125.25,8.4683,391.0,38.88,23.2764,0
4919,-0.0015,0.0003,21.61,47.65,521.72,2388.13,8126.34,8.4018,394.0,39.01,23.2179,0
4920,-0.0025,0.0,21.61,47.43,521.97,2388.08,8127.24,8.4488,391.0,38.99,23.2518,0
4921,0.0002,0.0,21.61,47.55,521.25,2388.11,8125.25,8.3865,392.0,38.99,23.3164,0
4922,-0.0003,0.0003,21.61,47.52,521.79,2388.12,8125.34,8.4548,392.0,38.75,23.2465,0
4924,0.0033,0.0003,21.61,47.48,521.72,2388.13,8126.84,8.4262,394.0,38.83,23.3319,0
4925,-0.0022,-0.0003,21.61,47.54,521.77,2388.08,8129.62,8.4112,392.0,38.61,23.2421,0
4926,-0.0016,0.0001,21.61,47.7,521.86,2388.2,8120.86,8.4446,393.0,38.86,23.3355,0
4927,0.0009,-0.0003,21.61,47.31,521.02,2388.14,8129.67,8.4154,393.0,38.87,23.4121,0
4928,-0.0001,-0.0002,21.61,47.4,521.1,2388.08,8129.34,8.4406,390.0,39.05,23.3296,0
4929,0.0041,-0.0004,21.61,47.54,521.69,2388.12,8130.63,8.4283,393.0,38.74,23.4,0
4930,0.0021,0.0003,21.61,47.71,521.34,2388.13,8127.26,8.4453,393.0,38.95,23.4772,0
4931,0.0016,0.0,21.61,47.55,521.24,2388.12,8123.46,8.4403,395.0,38.95,23.3489,0
4932,-0.0035,-0.0004,21.61,47.49,521.56,2388.14,8128.77,8.4131,392.0,38.76,23.4037,0
4934,-0.0013,-0.0004,21.61,47.618689320388356,521.71,2388.11,8126.29,8.4381,392.0,38.89,23.3443,0
4935,-0.0028,-0.0004,21.61,47.45,521.71,2388.13,8130.19,8.4593,392.0,38.84,23.2919,0
4936,0.0022,-0.0004,21.61,47.38,521.98,2388.09,8127.47,8.4234,391.0,38.65,23.4326,0
4937,0.0003,0.0004,21.61,47.44,521.66,2388.07,8132.54,8.4444,393.0,38.88,23.3129,0
4938,-0.0037,-0.0002,21.61,47.63,521.42,2388.07,8130.88,8.4446,393.0,38.87,23.295,0
4939,0.0013,0.0005,21.61,47.61,521.66,2388.12,8126.42,8.4454,393.0,38.78,23.3277,0
4940,-0.0035,0.0001,21.61,47.45,521.17,2388.13,8129.44,8.4341,393.0,38.82,23.3923,0
4942,0.0049,0.0003,21.61,47.49,521.43,2388.09,8124.21,8.4107,393.0,38.93,23.3093,0
4943,-0.0031,0.0005,21.61,47.68,521.54,2388.15,8127.02,8.4144,394.0,38.91,23.3018,0
4944,0.0001,0.0003,21.61,47.59,521.53,2388.1,8129.7,8.4473,392.0,38.75,23.2961,0
4945,-0.0006,0.0005,21.61,47.32,520.81,2388.17,8125.67,8.4572,394.0,38.65,23.2662,0
4946,0.0014,-0.0003,21.61,47.48,521.43,2388.06,8131.97,8.4592,392.0,38.88,23.3239,0
4947,0.001,0.0,21.61,47.618689320388356,521.06,2388.03,8123.87,8.4239,392.0,38.79,23.3213,0
4948,-0.0006,-0.0004,21.61,47.62,521.48,2388.13,8127.33,8.4343,393.0,39.0,23.25803932038835,0
4949,-0.0043,-0.0001,21.61,47.62,521.89,2388.09,8124.55,8.4514,392.0,38.87,23.25803932038835,0
4950,0.0,0.0,21.61,47.49,522.0,2388.08,8134.23,8.3987,395.0,38.77,23.2267,0
4951,0.0013,-0.0002,21.61,47.48,521.68,2388.09,8121.71,8.4289,393.0,38.8,23.2136,0
4952,-0.0016,-0.0002,21.61,47.45,521.94,2388.15,8132.52,8.4294,392.0,38.86,23.2992,0
4953,-0.0011,0.0,21.61,47.41,521.83,2388.11,8126.22,8.4525,392.0,38.89,23.3259,0
4954,-0.0011,-0.0003,21.61,47.43,521.66,2388.11,8123.21,8.452,393.0,38.92,23.2962,0
4955,0.0004,0.0002,21.61,47.54,521.82,2388.11,8126.88,8.4309,394.0,38.82,23.3525,0
4956,0.0007,0.0004,21.61,47.49,521.65,2388.08,8133.92,8.4539,394.0,38.94,23.3454,0
4957,0.0004,-0.0003,21.61,47.54,521.24,2388.12,8125.54,8.4059,393.0,38.89,23.2385,0
4958,-0.0032,-0.0001,21.61,47.59,521.19,2388.14,8135.97,8.41,395.0,38.91,23.4012,0
4959,0.0002,-0.0002,21.61,47.32,522.1,2388.15,8128.28,8.4124,393.0,38.82,23.2919,0
4960,-0.0036,0.0002,21.61,47.54,521.78,2388.13,8131.99,8.4356,393.0,38.73,23.4136,0
4961,0.0014,0.0004,21.61,47.62,521.79,2388.09,8127.13,8.4522,392.0,38.97,23.2221,0
4962,-0.0005,0.0006,21.61,47.61,521.74,2388.13,8120.62,8.4,392.0,38.97,23.3204,0
4963,-0.0007,0.0003,21.61,47.64,520.98,2388.15,8130.31,8.459,392.0,38.88,23.3614,0
4964,0.0018,-0.0003,21.61,47.39,521.16,2388.12,8133.89,8.4642,393.0,38.92,23.3523,0
4965,-0.0009,0.0,21.61,47.5,521.34,2388.15,8130.9,8.4499,392.0,38.74,23.2596,0
4966,0.0001,0.0001,21.61,47.59,521.39,2388.12,8129.73,8.4282,393.0,38.93,23.25803932038835,0
4967,-0.0012,0.0006,21.61,47.54,521.08,2388.11,8135.74,8.3914,392.0,38.93,23.3491,0
4968,0.0007,-0.0002,21.61,47.62,521.34,2388.09,8127.98,8.4872,393.0,38.76,23.2745,0
4969,0.0007,0.0001,21.61,47.5,521.39,2388.07,8129.58,8.4268,393.0,38.73,23.3427,0
4970,-0.0002,0.0,21.61,47.62,521.78,2388.09,8134.53,8.4502,393.0,38.92,23.3091,0
4971,-0.0012,-0.0001,21.61,47.55,521.59,2388.14,8135.96,8.450936842105262,394.0,38.89,23.2836,0
4973,0.001,-0.0001,21.61,47.37,521.44,2388.07,8131.87,8.4648,393.0,38.84,23.237,0
4974,-0.0002,0.0001,21.61,47.37,521.53,2388.13,8131.02,8.4394,393.0,38.82,23.2608,0
4975,-0.0016,4.7596153846153844e-05,21.61,47.5,520.93,2388.13,8137.49,8.4594,393.0,38.72,23.2315,0
4976,0.0015,0.0,21.61,47.4,521.37,2388.09,8128.19,8.4432,393.0,38.95,23.3308,0
4977,-0.0027,0.0002,21.61,47.44,521.83,2388.13,8131.57,8.4466,395.0,38.69,23.3378,0
4979,0.0017,0.0005,21.61,47.58,521.64,2388.1,8130.29,8.424,393.0,38.87,23.3139,0
4980,0.0025,-0.0003,21.61,47.33,521.32,2388.09,8127.49,8.4434,393.0,38.81,23.3036,0
4982,-0.0015,0.0004,21.61,47.55,521.98,2388.15,8129.44,8.4346,394.0,38.95,23.2454,0
4983,-0.0026,0.0001,21.61,47.63,521.15,2388.13,8132.85,8.4437,393.0,38.82,23.3066,0
4984,0.0028,4.7596153846153844e-05,21.61,47.7,521.13,2388.11,8133.57,8.4365,392.0,38.82,23.2432,0
4985,-0.0012,-0.0004,21.61,47.56,521.26,2388.09,8132.18,8.4613,393.0,38.85,23.2857,0
4986,0.001,0.0001,21.61,47.62,521.43,2388.12,8131.53,8.4635,393.0,38.82,23.1386,0
4987,-0.0027,0.0004,21.61,47.45,521.95,2388.13,8131.23,8.3965,392.0,39.03,23.2396,0
4988,-0.0049,-0.0001,21.61,47.43,521.17,2388.07,8135.43,8.4229,392.0,38.81,23.2236,0
4989,-0.0016,0.0001,21.61,47.618689320388356,521.13,2388.06,8131.92,8.4421,394.0,38.92,23.2552,0
4990,-0.0015,-0.0003,21.61,47.48,521.46,2388.06,8133.85,8.4514,393.0,38.9,23.2308,0
4991,-0.0021,0.0003,21.61,47.51,521.86,2388.14,8129.0,8.4227,393.0,38.86,23.2675,0
4992,-0.0007,0.0005,21.61,47.66,520.94,2388.16,8132.16,8.4521,393.0,38.78,23.2198,0
4993,-0.0032,0.0001,21.61,47.52,521.45,2388.14,8136.18,8.4536,393.0,38.84,23.3074,0
4994,0.0,0.0003,21.61,47.68,521.78,2388.13,8132.94,8.4149,393.0,38.68,23.2067,0
4995,-0.0023,0.0,21.61,47.58,521.72,2388.06,8135.65,8.4433,394.0,38.82,23.3755,0
4996,0.0018,0.0005,21.61,47.49,521.43,2388.14,8134.07,8.4328,392.0,38.89,23.3015,0
4997,-0.0056,0.0005,21.61,47.36,521.83,2388.15,8135.35,8.4351,392.0,38.77,23.298,0
4998,0.0047,-0.0002,21.61,47.56,521.38,2388.11,8140.53,8.4195,394.0,38.72,23.2693,0
4999,0.0004,0.0,21.61,47.47,521.68,2388.11,8135.08,8.4441,394.0,38.91,23.3609,0
5001,0.006,0.0004,21.61,47.42,521.73,2388.11,8140.4,8.4467,393.0,38.8,23.1554,0
5002,-0.0003,-0.0001,21.61,47.41,521.63,2388.12,8127.07,8.4385,393.0,38.85,23.2794,0
5003,0.0036,-0.0003,21.61,47.45,521.07,2388.05,8126.17,8.4495,393.0,38.82,23.3407,0
5004,1.9617224880382777e-05,-0.0002,21.61,47.61,521.24,2388.1,8131.64,8.4378,393.0,38.77504854368932,23.3321,0
5005,-0.0003,-0.0004,21.61,47.38,521.37,2388.15,8140.59,8.403,393.0,38.76,23.3545,0
5006,-0.0027,0.0005,21.61,47.55,520.94,2388.09,8139.19,8.4641,394.0,38.95,23.2958,0
5007,1.9617224880382777e-05,-0.0003,21.61,47.64,521.2113942307692,2388.1,8138.23,8.4638,394.0,38.82,23.3318,0
5008,0.0021,0.0004,21.61,47.59,521.33,2388.09,8138.11,8.4409,394.0,38.63,23.3342,0
5009,0.001,-0.0002,21.61,47.7,520.85,2388.16,8133.12,8.4352,394.0,38.71,23.4115,0
5010,-0.0003,0.0001,21.61,47.38,521.26,2388.12,8136.4,8.4405,391.0,38.82,23.2854,0
5011,0.0004,0.0002,21.61,47.5,521.67,2388.14,8131.55,8.3899,392.0,38.67,23.2475,0
5012,1.9617224880382777e-05,0.0003,21.61,47.52,521.15,2388.19,8137.25,8.391,394.0,38.88,23.1933,0
5013,-0.0011,-0.0002,21.61,47.66,521.43,2388.15,8139.04,8.4254,394.0,38.79,23.3129,0
5014,-0.0007,-0.0002,21.61,47.62,520.93,2388.08,8137.28,8.4339,394.0,38.67,23.2313,0
5015,0.0006,-0.0003,21.61,47.51,522.02,2388.11,8137.78,8.4203,394.0,38.89,23.3974,0
5016,-0.0035,0.0003,21.61,47.5,521.34,2388.14,8138.94,8.4315,393.0,38.77,23.2941,0
5017,0.0033,0.0005,21.61,47.618689320388356,521.74,2388.15,8138.69,8.4228,394.0,38.9,23.3402,0
5018,0.0,-0.0001,21.61,47.52,521.2113942307692,2388.08,8144.07,8.4406,394.0,38.93,23.25803932038835,0
5019,0.0002,-0.0002,21.61,47.62,521.51,2388.13,8137.64,8.4331,392.0,38.88,23.3665,0
5020,0.0015,-0.0003,21.61,47.55,521.26,2388.14,8139.36,8.4129,394.0,38.7,23.2871,0
5022,0.0003,-0.0002,21.61,47.64,521.37,2388.06,8141.76,8.4357,394.0,38.71,23.1922,0
5023,-0.0016,0.0003,21.61,47.54,521.36,2388.15,8138.14,8.4626,392.0,38.83,23.2199,0
5024,0.0038,0.0004,21.61,47.48,521.6,2388.11,8139.67,8.4491,395.0,38.62,23.2091,0
5025,-0.0007,-0.0004,21.61,47.5,521.59,2388.13,8144.18,8.4875,394.0,38.88,23.2547,0
5026,-0.0022,-0.0002,21.61,47.68,521.1,2388.11,8134.58,8.4511,393.0,38.73,23.3014,0
5027,-0.0001,-0.0003,21.61,47.7,521.51,2388.09,8134.4,8.4356,393.0,38.74,23.3651,0
5028,0.0009,0.0004,21.61,47.72,521.2113942307692,2388.09,8143.81,8.4501,393.0,38.76,23.2608,0
5029,-0.001,0.0006,21.61,47.58,520.55,2388.06,8145.85,8.4176,392.0,38.84,23.2605,0
5030,0.0009,0.0003,21.61,47.52,521.26,2388.16,8142.71,8.4371,392.0,38.79,23.2263,0
5031,-0.0009,-0.0003,21.61,47.72,521.4,2388.13,8138.89,8.4619,393.0,38.61,23.3595,0
5032,0.0004,0.0003,21.61,47.63,521.28,2388.122403846154,8148.43,8.4368,393.5571428571429,38.63,23.1682,0
5033,0.0004,0.0,21.61,47.72,521.06,2388.12,8143.58,8.4777,394.0,38.88,23.25803932038835,0
5034,-0.0001,0.0005,21.61,47.57,520.83,2388.12,8144.75,8.4439,395.0,38.63,23.2237,0
5035,0.0045,0.0004,21.61,47.75,521.01,2388.13,8141.85,8.4434,393.0,38.8,23.2705,0
5036,0.0012,0.0001,21.61,47.74,521.45,2388.12,8147.32,8.4381,393.0,38.81,23.2481,0
5037,0.0018,-0.0004,21.61,47.69,520.58,2388.14,8143.99,8.4483,394.0,38.83,23.2077,0
5038,0.0002,0.0001,21.61,47.56,521.04,2388.13,8146.72,8.4705,392.0,38.88,23.2842,0
5039,-0.001,0.0002,21.61,47.64,521.15,2388.09,8144.02,8.4771,394.0,38.71,23.269,0
5040,0.0019,0.0,21.61,47.65,521.01,2388.09,8146.94,8.4417,393.0,38.67,23.2401,0
5041,0.0022,0.0004,21.61,47.66,521.16,2388.09,8143.28,8.4187,394.0,38.62,23.2923,0
5042,-0.001,0.0001,21.61,47.6,521.16,2388.12,8142.07,8.4342,393.0,38.82,23.2669,0
5043,0.0029,-0.0003,21.61,47.68,521.54,2388.12,8144.3,8.4501,393.0,38.72,23.1695,0
5044,-0.0001,0.0004,21.61,47.64,521.3,2388.15,8142.64,8.4802,394.0,38.56,23.2767,0
5045,-0.0084,0.0005,21.61,47.71,520.49,2388.13,8149.52,8.434,394.0,38.82,23.2087,0
5046,0.0013,-0.0002,21.61,47.68,520.93,2388.1,8151.98,8.4839,391.0,38.91,23.2461,0
5047,0.0036,0.0002,21.61,47.72,521.32,2388.18,8148.48,8.4535,394.0,38.98,23.3493,0
5048,-0.0006,-0.0004,21.61,47.51,520.84,2388.15,8151.68,8.459,394.0,38.62,23.2116,0
5049,0.0018,-0.0003,21.61,47.57,520.8,2388.06,8152.98,8.5051,393.0,38.75,23.223,0
5050,-0.0028,-0.0002,21.61,47.62,520.9,2388.15,8146.61,8.4526,395.0,38.64,23.1895,0
5051,0.0038,0.0003,21.61,47.63,520.59,2388.12,8148.38,8.4714,393.0,38.84,23.1959,0
5052,0.0015,-0.0004,21.61,47.61,520.8,2388.1,8146.6,8.4788,393.0,38.77,23.2673,0
5053,0.001,0.0001,21.61,47.68,520.74,2388.11,8149.82,8.4205,392.0,38.76,23.2398,0
5056,-0.0022,0.0004,21.61,47.69,521.23,2388.15,8153.82,8.4596,394.0,38.95,23.1944,0
5057,0.0005,-0.0002,21.61,47.73,520.85,2388.14,8149.7,8.4899,394.0,38.68,23.1776,0
5058,0.0014,-0.0001,21.61,47.82,521.46,2388.1,8148.77,8.4896,394.0,38.7,23.185,0
5059,-0.001,0.0003,21.61,47.63,520.54,2388.14,8151.17,8.4687,396.0,38.66,23.2174,0
5060,-0.003,-0.0002,21.61,47.59,521.32,2388.13,8152.71,8.4689,393.0,38.71,23.1317,0
5061,0.0032,-0.0003,21.61,47.86,521.31,2388.11,8150.73,8.4542,393.0,38.75,23.1812,0
5063,0.0016,-0.0002,21.61,47.77,520.68,2388.08,8155.16,8.4811,395.0,38.81,23.1568,0
5064,0.0002,-0.0001,21.61,47.85,521.23,2388.12,8153.58,8.5056,394.0,38.88,23.1109,0
